D:\Anaconda\python.exe D:/home/zeewei/projects/77GRadar/model/cnn/cnn_train.py
0350 	 train_loss:0.25362303853034973 	 test_loss: 0.2561924159526825 	 test_min_loss: 0.2561924159526825 	 difference: 0.0025693774223327637 	 comp_acc:0 	 relative_acc:0
0360 	 train_loss:0.2391156256198883 	 test_loss: 0.2416999191045761 	 test_min_loss: 0.2416999191045761 	 difference: 0.002584293484687805 	 comp_acc:0 	 relative_acc:0
0370 	 train_loss:0.22609145939350128 	 test_loss: 0.22867846488952637 	 test_min_loss: 0.22867846488952637 	 difference: 0.0025870054960250854 	 comp_acc:0 	 relative_acc:0
0380 	 train_loss:0.2144300490617752 	 test_loss: 0.21700578927993774 	 test_min_loss: 0.21700578927993774 	 difference: 0.0025757402181625366 	 comp_acc:0 	 relative_acc:0
0390 	 train_loss:0.2040175199508667 	 test_loss: 0.20656327903270721 	 test_min_loss: 0.20656327903270721 	 difference: 0.002545759081840515 	 comp_acc:0 	 relative_acc:0
0400 	 train_loss:0.1947317123413086 	 test_loss: 0.19723568856716156 	 test_min_loss: 0.19723568856716156 	 difference: 0.0025039762258529663 	 comp_acc:0 	 relative_acc:0
0410 	 train_loss:0.18645305931568146 	 test_loss: 0.18890725076198578 	 test_min_loss: 0.18890725076198578 	 difference: 0.0024541914463043213 	 comp_acc:0 	 relative_acc:0
0420 	 train_loss:0.1790710687637329 	 test_loss: 0.18147064745426178 	 test_min_loss: 0.18147064745426178 	 difference: 0.0023995786905288696 	 comp_acc:0 	 relative_acc:0
0430 	 train_loss:0.17248627543449402 	 test_loss: 0.17483273148536682 	 test_min_loss: 0.17483273148536682 	 difference: 0.0023464560508728027 	 comp_acc:0 	 relative_acc:0
0440 	 train_loss:0.16660946607589722 	 test_loss: 0.16890543699264526 	 test_min_loss: 0.16890543699264526 	 difference: 0.002295970916748047 	 comp_acc:0 	 relative_acc:0
0450 	 train_loss:0.16135290265083313 	 test_loss: 0.16359969973564148 	 test_min_loss: 0.16359969973564148 	 difference: 0.0022467970848083496 	 comp_acc:0 	 relative_acc:0
0460 	 train_loss:0.15663282573223114 	 test_loss: 0.15883150696754456 	 test_min_loss: 0.15883150696754456 	 difference: 0.0021986812353134155 	 comp_acc:0 	 relative_acc:0
0470 	 train_loss:0.15237630903720856 	 test_loss: 0.15452812612056732 	 test_min_loss: 0.15452812612056732 	 difference: 0.0021518170833587646 	 comp_acc:0 	 relative_acc:0
0480 	 train_loss:0.14851711690425873 	 test_loss: 0.15062527358531952 	 test_min_loss: 0.15062527358531952 	 difference: 0.002108156681060791 	 comp_acc:0 	 relative_acc:0
0490 	 train_loss:0.14500285685062408 	 test_loss: 0.14707061648368835 	 test_min_loss: 0.14707061648368835 	 difference: 0.00206775963306427 	 comp_acc:0 	 relative_acc:0
0500 	 train_loss:0.14178991317749023 	 test_loss: 0.14381970465183258 	 test_min_loss: 0.14381970465183258 	 difference: 0.002029791474342346 	 comp_acc:0 	 relative_acc:0
0510 	 train_loss:0.13884006440639496 	 test_loss: 0.1408347338438034 	 test_min_loss: 0.1408347338438034 	 difference: 0.0019946694374084473 	 comp_acc:0 	 relative_acc:0
0520 	 train_loss:0.1361227184534073 	 test_loss: 0.13808344304561615 	 test_min_loss: 0.13808344304561615 	 difference: 0.0019607245922088623 	 comp_acc:0 	 relative_acc:0
0530 	 train_loss:0.13361003994941711 	 test_loss: 0.13553807139396667 	 test_min_loss: 0.13553807139396667 	 difference: 0.0019280314445495605 	 comp_acc:0 	 relative_acc:0
0540 	 train_loss:0.13127760589122772 	 test_loss: 0.13317431509494781 	 test_min_loss: 0.13317431509494781 	 difference: 0.0018967092037200928 	 comp_acc:0 	 relative_acc:0
0550 	 train_loss:0.12910369038581848 	 test_loss: 0.13097093999385834 	 test_min_loss: 0.13097093999385834 	 difference: 0.001867249608039856 	 comp_acc:0 	 relative_acc:0
0560 	 train_loss:0.1270715892314911 	 test_loss: 0.1289113461971283 	 test_min_loss: 0.1289113461971283 	 difference: 0.001839756965637207 	 comp_acc:0 	 relative_acc:0
0570 	 train_loss:0.12516674399375916 	 test_loss: 0.12698042392730713 	 test_min_loss: 0.12698042392730713 	 difference: 0.0018136799335479736 	 comp_acc:0 	 relative_acc:0
0580 	 train_loss:0.12337847054004669 	 test_loss: 0.12516723573207855 	 test_min_loss: 0.12516723573207855 	 difference: 0.0017887651920318604 	 comp_acc:0 	 relative_acc:0
0590 	 train_loss:0.12169668078422546 	 test_loss: 0.12346013635396957 	 test_min_loss: 0.12346013635396957 	 difference: 0.00176345556974411 	 comp_acc:0 	 relative_acc:0
0600 	 train_loss:0.12011022120714188 	 test_loss: 0.12184851616621017 	 test_min_loss: 0.12184851616621017 	 difference: 0.0017382949590682983 	 comp_acc:0 	 relative_acc:0
0610 	 train_loss:0.11860915273427963 	 test_loss: 0.12032205611467361 	 test_min_loss: 0.12032205611467361 	 difference: 0.001712903380393982 	 comp_acc:0 	 relative_acc:0
0620 	 train_loss:0.11718413233757019 	 test_loss: 0.11887124180793762 	 test_min_loss: 0.11887124180793762 	 difference: 0.0016871094703674316 	 comp_acc:0 	 relative_acc:0
0630 	 train_loss:0.11582832783460617 	 test_loss: 0.11749044805765152 	 test_min_loss: 0.11749044805765152 	 difference: 0.0016621202230453491 	 comp_acc:0 	 relative_acc:0
0640 	 train_loss:0.11453651636838913 	 test_loss: 0.11617390811443329 	 test_min_loss: 0.11617390811443329 	 difference: 0.001637391746044159 	 comp_acc:0 	 relative_acc:0
0650 	 train_loss:0.11330398917198181 	 test_loss: 0.11491746455430984 	 test_min_loss: 0.11491746455430984 	 difference: 0.0016134753823280334 	 comp_acc:0 	 relative_acc:0
0660 	 train_loss:0.11212733387947083 	 test_loss: 0.1137179359793663 	 test_min_loss: 0.1137179359793663 	 difference: 0.0015906020998954773 	 comp_acc:0 	 relative_acc:0
0670 	 train_loss:0.11100347340106964 	 test_loss: 0.11257153004407883 	 test_min_loss: 0.11257153004407883 	 difference: 0.0015680566430091858 	 comp_acc:0 	 relative_acc:0
0680 	 train_loss:0.10992781817913055 	 test_loss: 0.11147331446409225 	 test_min_loss: 0.11147331446409225 	 difference: 0.0015454962849617004 	 comp_acc:0 	 relative_acc:0
0690 	 train_loss:0.10889586061239243 	 test_loss: 0.11041920632123947 	 test_min_loss: 0.11041920632123947 	 difference: 0.001523345708847046 	 comp_acc:0 	 relative_acc:0
0700 	 train_loss:0.10790223628282547 	 test_loss: 0.1094040647149086 	 test_min_loss: 0.1094040647149086 	 difference: 0.0015018284320831299 	 comp_acc:0 	 relative_acc:0
0710 	 train_loss:0.10694266110658646 	 test_loss: 0.10842388868331909 	 test_min_loss: 0.10842388868331909 	 difference: 0.0014812275767326355 	 comp_acc:0 	 relative_acc:0
0720 	 train_loss:0.10601422935724258 	 test_loss: 0.1074751541018486 	 test_min_loss: 0.1074751541018486 	 difference: 0.001460924744606018 	 comp_acc:0 	 relative_acc:0
0730 	 train_loss:0.10511429607868195 	 test_loss: 0.10655531287193298 	 test_min_loss: 0.10655531287193298 	 difference: 0.0014410167932510376 	 comp_acc:0 	 relative_acc:0
0740 	 train_loss:0.1042410209774971 	 test_loss: 0.10566333681344986 	 test_min_loss: 0.10566333681344986 	 difference: 0.0014223158359527588 	 comp_acc:0 	 relative_acc:0
0750 	 train_loss:0.10339365899562836 	 test_loss: 0.10479754209518433 	 test_min_loss: 0.10479754209518433 	 difference: 0.0014038830995559692 	 comp_acc:0 	 relative_acc:0
0760 	 train_loss:0.1025712639093399 	 test_loss: 0.10395734012126923 	 test_min_loss: 0.10395734012126923 	 difference: 0.0013860762119293213 	 comp_acc:0 	 relative_acc:0
0770 	 train_loss:0.10177332162857056 	 test_loss: 0.10314178466796875 	 test_min_loss: 0.10314178466796875 	 difference: 0.0013684630393981934 	 comp_acc:0 	 relative_acc:0
0780 	 train_loss:0.10099844634532928 	 test_loss: 0.1023496687412262 	 test_min_loss: 0.1023496687412262 	 difference: 0.0013512223958969116 	 comp_acc:0 	 relative_acc:0
0790 	 train_loss:0.10024579614400864 	 test_loss: 0.10157980024814606 	 test_min_loss: 0.10157980024814606 	 difference: 0.0013340041041374207 	 comp_acc:0 	 relative_acc:0
0800 	 train_loss:0.09951414167881012 	 test_loss: 0.10083083063364029 	 test_min_loss: 0.10083083063364029 	 difference: 0.0013166889548301697 	 comp_acc:0 	 relative_acc:0
0810 	 train_loss:0.09880157560110092 	 test_loss: 0.10010146349668503 	 test_min_loss: 0.10010146349668503 	 difference: 0.0012998878955841064 	 comp_acc:0 	 relative_acc:0
0820 	 train_loss:0.09810604155063629 	 test_loss: 0.09938961267471313 	 test_min_loss: 0.09938961267471313 	 difference: 0.0012835711240768433 	 comp_acc:0 	 relative_acc:0
0830 	 train_loss:0.09742660075426102 	 test_loss: 0.0986943319439888 	 test_min_loss: 0.0986943319439888 	 difference: 0.0012677311897277832 	 comp_acc:0 	 relative_acc:0
0840 	 train_loss:0.096762515604496 	 test_loss: 0.098014697432518 	 test_min_loss: 0.098014697432518 	 difference: 0.0012521818280220032 	 comp_acc:0 	 relative_acc:0
0850 	 train_loss:0.0961129367351532 	 test_loss: 0.09734983742237091 	 test_min_loss: 0.09734983742237091 	 difference: 0.0012369006872177124 	 comp_acc:0 	 relative_acc:0
0860 	 train_loss:0.09547770768404007 	 test_loss: 0.09669943153858185 	 test_min_loss: 0.09669943153858185 	 difference: 0.0012217238545417786 	 comp_acc:0 	 relative_acc:0
0870 	 train_loss:0.09485608339309692 	 test_loss: 0.09606283158063889 	 test_min_loss: 0.09606283158063889 	 difference: 0.0012067481875419617 	 comp_acc:0 	 relative_acc:0
0880 	 train_loss:0.09424743056297302 	 test_loss: 0.09543940424919128 	 test_min_loss: 0.09543940424919128 	 difference: 0.0011919736862182617 	 comp_acc:0 	 relative_acc:0
0890 	 train_loss:0.09365132451057434 	 test_loss: 0.09482858330011368 	 test_min_loss: 0.09482858330011368 	 difference: 0.0011772587895393372 	 comp_acc:0 	 relative_acc:0
0900 	 train_loss:0.09306737780570984 	 test_loss: 0.0942302867770195 	 test_min_loss: 0.0942302867770195 	 difference: 0.0011629089713096619 	 comp_acc:0 	 relative_acc:0
0910 	 train_loss:0.09249531477689743 	 test_loss: 0.0936439037322998 	 test_min_loss: 0.0936439037322998 	 difference: 0.0011485889554023743 	 comp_acc:0 	 relative_acc:0
0920 	 train_loss:0.09193451702594757 	 test_loss: 0.0930691510438919 	 test_min_loss: 0.0930691510438919 	 difference: 0.001134634017944336 	 comp_acc:0 	 relative_acc:0
0930 	 train_loss:0.09138451516628265 	 test_loss: 0.0925055518746376 	 test_min_loss: 0.0925055518746376 	 difference: 0.00112103670835495 	 comp_acc:0 	 relative_acc:0
0940 	 train_loss:0.09084547311067581 	 test_loss: 0.09195302426815033 	 test_min_loss: 0.09195302426815033 	 difference: 0.0011075511574745178 	 comp_acc:0 	 relative_acc:0
0950 	 train_loss:0.09031763672828674 	 test_loss: 0.09141183644533157 	 test_min_loss: 0.09141183644533157 	 difference: 0.0010941997170448303 	 comp_acc:0 	 relative_acc:0
0960 	 train_loss:0.08980092406272888 	 test_loss: 0.09088192135095596 	 test_min_loss: 0.09088192135095596 	 difference: 0.0010809972882270813 	 comp_acc:0 	 relative_acc:0
0970 	 train_loss:0.08929458260536194 	 test_loss: 0.09036257117986679 	 test_min_loss: 0.09036257117986679 	 difference: 0.0010679885745048523 	 comp_acc:0 	 relative_acc:0
0980 	 train_loss:0.0887981504201889 	 test_loss: 0.0898531898856163 	 test_min_loss: 0.0898531898856163 	 difference: 0.0010550394654273987 	 comp_acc:0 	 relative_acc:0
0990 	 train_loss:0.08831150829792023 	 test_loss: 0.08935398608446121 	 test_min_loss: 0.08935398608446121 	 difference: 0.001042477786540985 	 comp_acc:0 	 relative_acc:0
1000 	 train_loss:0.08783428370952606 	 test_loss: 0.08886449038982391 	 test_min_loss: 0.08886449038982391 	 difference: 0.0010302066802978516 	 comp_acc:0 	 relative_acc:0
1010 	 train_loss:0.0873664990067482 	 test_loss: 0.08838468044996262 	 test_min_loss: 0.08838468044996262 	 difference: 0.0010181814432144165 	 comp_acc:0 	 relative_acc:0
1020 	 train_loss:0.08690793812274933 	 test_loss: 0.08791432529687881 	 test_min_loss: 0.08791432529687881 	 difference: 0.001006387174129486 	 comp_acc:0 	 relative_acc:0
1030 	 train_loss:0.08645810931921005 	 test_loss: 0.08745288848876953 	 test_min_loss: 0.08745288848876953 	 difference: 0.0009947791695594788 	 comp_acc:0 	 relative_acc:0
1040 	 train_loss:0.08601683378219604 	 test_loss: 0.08700031042098999 	 test_min_loss: 0.08700031042098999 	 difference: 0.0009834766387939453 	 comp_acc:0 	 relative_acc:0
1050 	 train_loss:0.08558376878499985 	 test_loss: 0.08655641227960587 	 test_min_loss: 0.08655641227960587 	 difference: 0.0009726434946060181 	 comp_acc:0 	 relative_acc:0
1060 	 train_loss:0.08515875786542892 	 test_loss: 0.08612104505300522 	 test_min_loss: 0.08612104505300522 	 difference: 0.0009622871875762939 	 comp_acc:0 	 relative_acc:0
1070 	 train_loss:0.08474141359329224 	 test_loss: 0.08569365739822388 	 test_min_loss: 0.08569365739822388 	 difference: 0.0009522438049316406 	 comp_acc:0 	 relative_acc:0
1080 	 train_loss:0.08433140814304352 	 test_loss: 0.08527392148971558 	 test_min_loss: 0.08527392148971558 	 difference: 0.0009425133466720581 	 comp_acc:0 	 relative_acc:0
1090 	 train_loss:0.08392856270074844 	 test_loss: 0.0848618671298027 	 test_min_loss: 0.0848618671298027 	 difference: 0.0009333044290542603 	 comp_acc:0 	 relative_acc:0
1100 	 train_loss:0.08353299647569656 	 test_loss: 0.08445737510919571 	 test_min_loss: 0.08445737510919571 	 difference: 0.0009243786334991455 	 comp_acc:0 	 relative_acc:0
1110 	 train_loss:0.08314453810453415 	 test_loss: 0.0840601772069931 	 test_min_loss: 0.0840601772069931 	 difference: 0.0009156391024589539 	 comp_acc:0 	 relative_acc:0
1120 	 train_loss:0.08276300132274628 	 test_loss: 0.0836699977517128 	 test_min_loss: 0.0836699977517128 	 difference: 0.0009069964289665222 	 comp_acc:0 	 relative_acc:0
1130 	 train_loss:0.08238793164491653 	 test_loss: 0.0832865759730339 	 test_min_loss: 0.0832865759730339 	 difference: 0.0008986443281173706 	 comp_acc:0 	 relative_acc:0
1140 	 train_loss:0.08201891928911209 	 test_loss: 0.08290965855121613 	 test_min_loss: 0.08290965855121613 	 difference: 0.0008907392621040344 	 comp_acc:0 	 relative_acc:0
1150 	 train_loss:0.08165588974952698 	 test_loss: 0.082538902759552 	 test_min_loss: 0.082538902759552 	 difference: 0.0008830130100250244 	 comp_acc:0 	 relative_acc:0
1160 	 train_loss:0.08129866421222687 	 test_loss: 0.0821741446852684 	 test_min_loss: 0.0821741446852684 	 difference: 0.0008754804730415344 	 comp_acc:0 	 relative_acc:0
1170 	 train_loss:0.08094687759876251 	 test_loss: 0.08181508630514145 	 test_min_loss: 0.08181508630514145 	 difference: 0.0008682087063789368 	 comp_acc:0 	 relative_acc:0
1180 	 train_loss:0.08060070127248764 	 test_loss: 0.08146173506975174 	 test_min_loss: 0.08146173506975174 	 difference: 0.0008610337972640991 	 comp_acc:0 	 relative_acc:0
1190 	 train_loss:0.08025982975959778 	 test_loss: 0.08111400157213211 	 test_min_loss: 0.08111400157213211 	 difference: 0.0008541718125343323 	 comp_acc:0 	 relative_acc:0
1200 	 train_loss:0.07992391288280487 	 test_loss: 0.08077146112918854 	 test_min_loss: 0.08077146112918854 	 difference: 0.000847548246383667 	 comp_acc:0 	 relative_acc:0
1210 	 train_loss:0.07959267497062683 	 test_loss: 0.08043382316827774 	 test_min_loss: 0.08043382316827774 	 difference: 0.0008411481976509094 	 comp_acc:0 	 relative_acc:0
1220 	 train_loss:0.07926608622074127 	 test_loss: 0.08010095357894897 	 test_min_loss: 0.08010095357894897 	 difference: 0.0008348673582077026 	 comp_acc:0 	 relative_acc:0
1230 	 train_loss:0.07894383370876312 	 test_loss: 0.07977262884378433 	 test_min_loss: 0.07977262884378433 	 difference: 0.0008287951350212097 	 comp_acc:0 	 relative_acc:0
1240 	 train_loss:0.07862576842308044 	 test_loss: 0.07944882661104202 	 test_min_loss: 0.07944882661104202 	 difference: 0.0008230581879615784 	 comp_acc:0 	 relative_acc:0
1250 	 train_loss:0.07831180095672607 	 test_loss: 0.07912953943014145 	 test_min_loss: 0.07912953943014145 	 difference: 0.0008177384734153748 	 comp_acc:0 	 relative_acc:0
1260 	 train_loss:0.07800165563821793 	 test_loss: 0.07881425321102142 	 test_min_loss: 0.07881425321102142 	 difference: 0.0008125975728034973 	 comp_acc:0 	 relative_acc:0
1270 	 train_loss:0.07769503444433212 	 test_loss: 0.07850277423858643 	 test_min_loss: 0.07850277423858643 	 difference: 0.000807739794254303 	 comp_acc:0 	 relative_acc:0
1280 	 train_loss:0.07739214599132538 	 test_loss: 0.07819483429193497 	 test_min_loss: 0.07819483429193497 	 difference: 0.0008026883006095886 	 comp_acc:0 	 relative_acc:0
1290 	 train_loss:0.07709303498268127 	 test_loss: 0.07789044827222824 	 test_min_loss: 0.07789044827222824 	 difference: 0.0007974132895469666 	 comp_acc:0 	 relative_acc:0
1300 	 train_loss:0.07679767161607742 	 test_loss: 0.07758977264165878 	 test_min_loss: 0.07758977264165878 	 difference: 0.0007921010255813599 	 comp_acc:0 	 relative_acc:0
1310 	 train_loss:0.0765056386590004 	 test_loss: 0.07729266583919525 	 test_min_loss: 0.07729266583919525 	 difference: 0.0007870271801948547 	 comp_acc:0 	 relative_acc:0
1320 	 train_loss:0.07621689140796661 	 test_loss: 0.07699904590845108 	 test_min_loss: 0.07699904590845108 	 difference: 0.0007821545004844666 	 comp_acc:0 	 relative_acc:0
1330 	 train_loss:0.0759313777089119 	 test_loss: 0.07670877128839493 	 test_min_loss: 0.07670877128839493 	 difference: 0.0007773935794830322 	 comp_acc:0 	 relative_acc:0
1340 	 train_loss:0.0756489560008049 	 test_loss: 0.07642151415348053 	 test_min_loss: 0.07642151415348053 	 difference: 0.0007725581526756287 	 comp_acc:0 	 relative_acc:0
1350 	 train_loss:0.07536958158016205 	 test_loss: 0.07613728940486908 	 test_min_loss: 0.07613728940486908 	 difference: 0.0007677078247070312 	 comp_acc:0 	 relative_acc:0
1360 	 train_loss:0.0750930905342102 	 test_loss: 0.07585606724023819 	 test_min_loss: 0.07585606724023819 	 difference: 0.0007629767060279846 	 comp_acc:0 	 relative_acc:0
1370 	 train_loss:0.07481943815946579 	 test_loss: 0.07557771354913712 	 test_min_loss: 0.07557771354913712 	 difference: 0.0007582753896713257 	 comp_acc:0 	 relative_acc:0
1380 	 train_loss:0.07454863935709 	 test_loss: 0.07530232518911362 	 test_min_loss: 0.07530232518911362 	 difference: 0.0007536858320236206 	 comp_acc:0 	 relative_acc:0
1390 	 train_loss:0.07428079843521118 	 test_loss: 0.07502979785203934 	 test_min_loss: 0.07502979785203934 	 difference: 0.0007489994168281555 	 comp_acc:0 	 relative_acc:0
1400 	 train_loss:0.07401581853628159 	 test_loss: 0.07476000487804413 	 test_min_loss: 0.07476000487804413 	 difference: 0.0007441863417625427 	 comp_acc:0 	 relative_acc:0
1410 	 train_loss:0.07375364005565643 	 test_loss: 0.07449279725551605 	 test_min_loss: 0.07449279725551605 	 difference: 0.0007391571998596191 	 comp_acc:0 	 relative_acc:0
1420 	 train_loss:0.07349418103694916 	 test_loss: 0.07422817498445511 	 test_min_loss: 0.07422817498445511 	 difference: 0.0007339939475059509 	 comp_acc:0 	 relative_acc:0
1430 	 train_loss:0.07323741912841797 	 test_loss: 0.07396605610847473 	 test_min_loss: 0.07396605610847473 	 difference: 0.0007286369800567627 	 comp_acc:0 	 relative_acc:0
1440 	 train_loss:0.07298347353935242 	 test_loss: 0.07370681315660477 	 test_min_loss: 0.07370681315660477 	 difference: 0.0007233396172523499 	 comp_acc:0 	 relative_acc:0
1450 	 train_loss:0.0727323368191719 	 test_loss: 0.07345052063465118 	 test_min_loss: 0.07345052063465118 	 difference: 0.0007181838154792786 	 comp_acc:0 	 relative_acc:0
1460 	 train_loss:0.0724838450551033 	 test_loss: 0.07319707423448563 	 test_min_loss: 0.07319707423448563 	 difference: 0.0007132291793823242 	 comp_acc:0 	 relative_acc:0
1470 	 train_loss:0.07223795354366302 	 test_loss: 0.07294629514217377 	 test_min_loss: 0.07294629514217377 	 difference: 0.0007083415985107422 	 comp_acc:0 	 relative_acc:0
1480 	 train_loss:0.07199478149414062 	 test_loss: 0.07269838452339172 	 test_min_loss: 0.07269838452339172 	 difference: 0.0007036030292510986 	 comp_acc:0 	 relative_acc:0
1490 	 train_loss:0.07175466418266296 	 test_loss: 0.07245342433452606 	 test_min_loss: 0.07245342433452606 	 difference: 0.0006987601518630981 	 comp_acc:0 	 relative_acc:0
1500 	 train_loss:0.0715174451470375 	 test_loss: 0.07221125811338425 	 test_min_loss: 0.07221125811338425 	 difference: 0.0006938129663467407 	 comp_acc:0 	 relative_acc:0
1510 	 train_loss:0.07128299027681351 	 test_loss: 0.07197201251983643 	 test_min_loss: 0.07197201251983643 	 difference: 0.0006890222430229187 	 comp_acc:0 	 relative_acc:0
1520 	 train_loss:0.07105164974927902 	 test_loss: 0.07173603773117065 	 test_min_loss: 0.07173603773117065 	 difference: 0.0006843879818916321 	 comp_acc:0 	 relative_acc:0
